0,CUST ORDER,NO. : CHQ 014435
1,L.R. NO,:
2,TRANSPORT,MODE : BY-ROAD
3,TRANSPORTER,NAME :
4,VEHICLE NO,:
5,DESTINATION,:
6,ACK NO.,: 162314216428048
7,E-WAY BILL,NO :
0,Sr.,Product Description,Total,Discount,Taxable,MRP,PTR,,CGST,,SGST,Total,UOM,HSN,Mfg.,Batch,Expiry,Quantity,,Rate
1,No.,,Value,,Amount,,,%,Amount,%,Amount,Amount,,Code,By,No.,Date,Billed,Free,
2,1,Rinifol Dry Syrup 21st 8 pm,12376.00,2652.00,9724.00,68.75,49.11,6.00,583.44,6.00,583.44,10890.88,60ML,30049099,ELAN,RDS3B015,04/2024,280,,44.20
3,2,"Rinifol Dry Syrup , Pry",3883.20,0.00,3883.20,75.50,53.93,6.00,232.99,6.00,232.99,4349.18,60ML,30049099,ELAN,RDS3D026,06/2024,80,,48.54
4,3,Rinifol-Z Dry Syrup 3 ds,20154.00,3359.00,16795.00,104.50,74.64,6.00,1007.70,6.00,1007.70,18810.40,60ML,30049099,ELAN,RSZ3A004,03/2024,300,,67.18
5,4,Orasep Gel 15B0%,25192.50,4030.80,21161.70,104.50,74.64,6.00,1269.70,6.00,1269.70,23701.10,15ML,30049069,ELAN,OG2301,12/2024,375,,67.18
6,5,Waxiklin ED 2 BOX,3857.00,617.12,3239.88,120.00,85.71,6.00,194.39,6.00,194.39,3628.66,10ML,30049099,ELAN,WD2302,03/2025,50,,77.14
7,6,Sensicure KG 100g 5 pry,4596.50,919.30,3677.20,143.00,102.14,6.00,220.63,6.00,220.63,4118.46,100GMS,30049069,ELAN,SCK2302,01/2026,50,,91.93
8,7,Sensicure KG 100g 1 BOY,919.30,0.00,919.30,143.00,102.14,6.00,55.16,6.00,55.16,1029.62,100GMS,30049069,ELAN,SCK2308,02/2026,10,,91.93
9,8,Sensowash OR 100 6 Bey,3394.20,565.70,2828.50,88.00,62.86,6.00,169.71,6.00,169.71,3167.92,100ML,30049069,ELAN,SNW2202,09/2024,60,,56.57
10,9,Orasep MW 100 BOY,636.40,0.00,636.40,99.00,70.71,6.00,38.18,6.00,38.18,712.76,100ML,30049087,ELAN,OMW2302,03/2025,10,,63.64
11,10,Orasep LA 5 x x,8838.75,1414.20,7424.55,110.00,78.57,6.00,445.47,6.00,445.47,8315.49,15ML,30049069,ELAN,OA2303,02/2025,125,,70.71
12,11,Rinifol PedTabs,3921.12,653.52,3267.60,42.35,30.25,6.00,196.06,6.00,196.06,3659.72,10'S,30049099,ELAN,RPT3D012,06/2024,144,,27.23
13,12,Rinifol Capsules 12B0X 31,63000.00,10500.00,52500.00,54.45,38.89,6.00,3150.00,6.00,3150.00,58800.00,10'S,30049099,ELAN,RFC3B014,04/2024,1800,,35.00
