0,Dlv,,,:162314255471508,,Ack.,Date :,20-Jun-2023,14:16:00,,,54228b54e239b7f33fc43880f911a79efd5ffe9ad2f69db30ea86951274b7637,,,,,,Ack. No
1,Code,HSN Code,PTR,Box,Value,Qty Disc.,Qty Disc. Amount,Taxable Value,Tax Rate,Tax Type,Material Name,Pack,Batch No.,Exp.Dt,Mfg. Code,MRP,Qty,Rate
2,CARS,30049079,111.43,1,1504.35,0.00,0.00,1504.35,12.00,,AMLONG TL 40,IU'S,AMOS0020,Dec-2024,ML24,156.00,15,100.29
3,CARS,30049079,103.57,1,3728.40,0.00,0.00,3728.40,12.00,CGST+SGST CGST+SGST,AMLONG-A TABLETS,15 S,AMDS0173,May-2025,ML24,145.00,40,93.21
4,CARS,30049079,137.68,1,1239.10,0.00,0.00,1239.10,12.00,,AVAS 40 TABS,10'S,AVDS0046,Nov-2025,ML24,192.75,10,123.91
5,CARS,30049079,86.43,3,700.11,0.00,0.00,700.11,12.00,CGST+SGST,AVAS CV 10,10'S,AASM107,Dec-2024,109517,121.00,9,DA79
6,CARS,30049079,105.83,1,952.50,0.00,0.00,952.50,12.00,CGST+SGST,AVAS-10 TABLETS 30%,30's,AVBS0104,Oct-2025,ML24,148.17,10,95.25.
7,CARS,30049079,111.43,2,2005.80,0.00,0.00,2005.80,12.00,CGST+SGST,TELPLUS,15',TLPS0087,Feb-2025,ML24,156.00,20,100.29
8,CARS,30049079,145.71,5,6557.00,0.00,0.00,6557.00,,CGST+SGST,TELPLUS TRIO 15 S,15 S,TLCS0036,Apr-2025,ML24,204.00,50,131.14
9,CC,30049079,82.16,10,739.40,0.00,0.00,739.40,12.00,CGST+SGST,AMIODAR 200 TABS,105,AUTP0026,Aug-2024,,115.02,10,73.94
10,CC,30049079,120.71,4,1303.68,0.00,0.00,1303.68,12.00,CGST+SGST,ARBITEL-AMH TABLETS,TO S,ARES0015,Jun-2025,ML24,169.00,12,108.64
11,CC,30049079,108.57,2,1954.20,0.00,0.00,,12.00,CGST+SGST,CARTINEX TABS,10'S,CTNY0040,May-2025,ML05,152.00,20,-97.74
12,CC,30049079,21.28,0,191.50,0.00,0.00,1954.20 191.50,12.00,CGST+SGST,CHANNEL 30 TABS,10'S,DTZY0094,NOV-2025,ML05,29.79,10,19.15
13,CC,30049079,82.86,2,1491.40,0.00,0.00,1491.40,12.00 12.00,CGST+SGST CGST+SGST,CHANNEL 90-SR TABLETS,10's,110622042,Nov-2024,102553,116.00,20,74.57
14,CC,30049079,103.22,3,836.10,0.00,0.00,836.10,12.00,CGST+SGST,METAPRO 3D 50,10's,MEAR007,Apr-2024,102553,144.50,1,92.90
15,CC,30049074,45.00,4,810.00,0.00,0.00,810.00,12.00,CGST+SGST,METAPRO-XL 25MG TABLETS 15 s,15'S,MXTY0291,Aug-2024,ML05,63.00,20,40:50
16,CR,30049079,110.71,0,298.92,0.00,0.00,298.92,12.00,CGST+SGST,NULONG TRIO,10's,NLHS0008,Mar-2025,ML24,155.00,3,99.64
17,CR,30049079,128.57,1,1157.10,0.00,0.00,1157.10,12.00,CGST+SGST,OLMAT-20MG TABLETS,15'S,OTAS0054,Jan-2025,ML24,180.00,10,115.76
18,CR2CD,30049079,150.00,1,1350.00,0.00,0.00,1350.00,12.00,CGST+SGST,TURBOVAS-10 TABLETS 15,15's,TBAS0012,Aug-2025,ML24,210.00,10,135.00
19,CR2CV,30049079,192.14,2,2075.16,0.00,0.00,2075.16,12.00,CGST+SGST,VOGLINORM GM 1 15's,15's,VGGS0026,Dec-2024,ML24,269.00,12,472.93
20,CR2CV,30049079,251.43,2,2715.48,0.00,0.00,2715.48,12.00,CGST+SGST,VOGLINORM GM 215'S TABLETS,15'S,VGFS0043 or,Nov-2024,ML24,352.00,12,226.29
21,CR2CV,30043190,124.29,6,6711.60,0.00,0.00,6711.60,12.00,CGST+SGST,VOGLINORM GM FORTE 10s,ID's,VGWM143,Feb-2025,124296,174.00,60,111.80
22,DERM,33049990,233.22,1,2518.80,0.00,0.00,2518.80,18.00,CGST+SGST,KOJIVIT GEL,15GM,MKG093,Mar-2025,ML22,344.00,12,209.90
23,DTF,30049079,97.50,2,2632.50,0.00,0.00,2632.50,12.00,CGST+SGST,DIAPRIDE M 1 15's,15'S,DICS0190,Jan-2026,ML24,136.50,C_30,87.75
24,DTF03,30049079,11.32,2,407.60,0.00,0.00,407.60,12.00,CGST+SGST,DIBIZIDE M TABS,10's,DMUH0443,Oct-2025,ML01,15.85,40,10.19
25,DTF03,30045039,147.86,3,1996.05,0.00,0.00,1996.05,12.00,CGST+SGST,PREGATOR CAP,10'S-,PGRS0077,Feb-2024,ML24,207.00,15,133.07
26,DTF03,30049079,247.50,3,6682.50,0.00,0.00,6682.50,12.00,CGST+SGST,TELROSE TABLETS (1$,15ts,TLRS0030,Dec-2024,ML24,346.50,$ 30,222.75
27,GTF01,30049061,21.48,3,1159.80,0.00,0.00,1159.80,12.00,CGST+SGST,DOLO DROPS,15ML,HECR3004,Mar-2025,126561,30.07,60,19.33
28,MN,30049069,41.43,6,6712.20,30.00,1118.70,5593.50,12.00,CGST+SGST,DOLOPAR TABLETS,15'S,DOCS0171,Mar-2027,ML24,58.00,180,37.29
